"org.apache.catalina.core.StandardHostValve.status(org.apache.catalina.connector.Request, org.apache.catalina.connector.Response)","0.59431833","0.05 ms","0.077 ms","1"
"org.apache.catalina.connector.Request.removeAttribute(String)","0.59431833","0.05 ms","0.05 ms","2"
"org.apache.coyote.http11.InternalOutputBuffer.endRequest()","0.5586592","0.047 ms","0.111 ms","1"
"org.apache.tomcat.util.buf.MessageBytes.equals(String)","0.5586592","0.047 ms","0.046 ms","2"
"org.apache.catalina.core.StandardWrapper.allocate()","0.5586592","0.047 ms","0.077 ms","1"
"org.apache.tomcat.util.http.mapper.Mapper.find(org.apache.tomcat.util.http.mapper.Mapper.MapElement[], org.apache.tomcat.util.buf.CharChunk)","0.54677284","0.046 ms","0.12 ms","6"
"org.apache.catalina.connector.CoyoteAdapter.parseSessionCookiesId(org.apache.coyote.Request, org.apache.catalina.connector.Request)","0.54677284","0.046 ms","0.17 ms","1"
"org.apache.coyote.http11.InternalOutputBuffer.write(int)","0.54677284","0.046 ms","0.058 ms","1"
"org.apache.naming.resources.FileDirContext$FileResourceAttributes.<init>(org.apache.naming.resources.FileDirContext, java.io.File)","0.49922737","0.042 ms","0.127 ms","1"
"org.apache.tomcat.util.http.mapper.Mapper.find(org.apache.tomcat.util.http.mapper.Mapper.MapElement[], org.apache.tomcat.util.buf.CharChunk, int, int)","0.49922737","0.042 ms","0.074 ms","6"
"org.apache.tomcat.util.http.mapper.Mapper.compareIgnoreCase(org.apache.tomcat.util.buf.CharChunk, int, int, String)","0.49922737","0.042 ms","0.056 ms","1"
"org.apache.tomcat.util.buf.UDecoder.convert(org.apache.tomcat.util.buf.MessageBytes, boolean)","0.49922737","0.042 ms","0.095 ms","1"
"org.apache.tomcat.util.buf.UDecoder.convert(org.apache.tomcat.util.buf.ByteChunk, boolean)","0.49922737","0.042 ms","0.053 ms","1"
"org.apache.catalina.connector.CoyoteAdapter.checkNormalize(org.apache.tomcat.util.buf.MessageBytes)","0.48734102","0.041 ms","0.094 ms","1"
"org.apache.catalina.core.StandardEngineValve.invoke(org.apache.catalina.connector.Request, org.apache.catalina.connector.Response)","0.48734102","0.041 ms","2.582 ms","1"
"org.apache.naming.resources.ResourceCache.lookup(String)","0.48734102","0.041 ms","0.068 ms","2"
"org.apache.catalina.connector.Response.getStatus()","0.48734102","0.041 ms","0.04 ms","2"
"org.apache.tomcat.util.buf.MessageBytes.setChars(char[], int, int)","0.47545466","0.04 ms","0.061 ms","3"
"org.apache.catalina.connector.CoyoteAdapter.normalize(org.apache.tomcat.util.buf.MessageBytes)","0.47545466","0.04 ms","0.06 ms","1"
"org.apache.tomcat.util.http.mapper.Mapper.map(org.apache.tomcat.util.buf.MessageBytes, org.apache.tomcat.util.buf.MessageBytes, org.apache.tomcat.util.http.mapper.MappingData)","0.47545466","0.04 ms","1.589 ms","1"
"org.apache.tomcat.util.res.StringManager.getString(String)","0.4635683","0.039 ms","0.039 ms","1"
"org.apache.tomcat.util.buf.ByteChunk.getBytes()","0.4635683","0.039 ms","0.038 ms","3"
"org.apache.coyote.http11.InternalOutputBuffer.write(org.apache.tomcat.util.buf.MessageBytes)","0.4516819","0.038 ms","0.061 ms","4"
"org.apache.tomcat.util.buf.ByteChunk.toString()","0.4516819","0.038 ms","0.37 ms","2"
"org.apache.tomcat.util.buf.MessageBytes.toBytes()","0.43979555","0.037 ms","0.048 ms","1"
"org.apache.tomcat.util.log.SystemLogHandler.findStream()","0.43979555","0.037 ms","0.037 ms","1"
"org.apache.tomcat.util.http.mapper.Mapper.findIgnoreCase(org.apache.tomcat.util.http.mapper.Mapper.MapElement[], org.apache.tomcat.util.buf.CharChunk)","0.4279092","0.036 ms","0.121 ms","1"
"org.apache.catalina.connector.Request.getHost()","0.4279092","0.036 ms","0.036 ms","1"
"org.apache.coyote.Response.acknowledge()","0.4160228","0.035 ms","0.101 ms","1"
"org.apache.catalina.util.RequestUtil.normalize(String, boolean)","0.4160228","0.035 ms","0.035 ms","2"
"org.apache.coyote.http11.InternalOutputBuffer.commit()","0.4160228","0.035 ms","0.058 ms","1"
"org.apache.tomcat.util.buf.MessageBytes.getCharset()","0.4160228","0.035 ms","0.057 ms","1"
"org.apache.catalina.connector.OutputBuffer.doFlush(boolean)","0.40413645","0.034 ms","1.322 ms","1"
"org.apache.tomcat.util.buf.ByteChunk.indexOf(char, int)","0.40413645","0.034 ms","0.047 ms","1"
"org.apache.tomcat.util.buf.CharChunk.getChars()","0.40413645","0.034 ms","0.034 ms","2"
"org.apache.coyote.http11.InternalOutputBuffer.write(String)","0.40413645","0.034 ms","0.032 ms","6"
"org.apache.naming.resources.ProxyDirContext.validate(org.apache.naming.resources.CacheEntry)","0.40413645","0.034 ms","0.033 ms","2"
"org.apache.tomcat.util.buf.ByteChunk.append(org.apache.tomcat.util.buf.ByteChunk)","0.3922501","0.033 ms","0.124 ms","1"
"org.apache.tomcat.util.http.mapper.Mapper.compare(org.apache.tomcat.util.buf.CharChunk, int, int, String)","0.3922501","0.033 ms","0.033 ms","13"
"org.apache.catalina.connector.OutputBuffer.recycle()","0.38036373","0.032 ms","0.036 ms","1"
"org.apache.naming.resources.FileDirContext.getAttributes(String, String[])","0.38036373","0.032 ms","0.502 ms","1"
"org.apache.catalina.connector.Response.finishResponse()","0.38036373","0.032 ms","1.701 ms","1"
"org.apache.tomcat.util.buf.CharChunk.toString()","0.38036373","0.032 ms","0.085 ms","1"
"org.apache.coyote.http11.InternalOutputBuffer.realWriteBytes(byte[], int, int)","0.36847734","0.031 ms","0.031 ms","1"
"org.apache.tomcat.util.buf.StringCache.toString(org.apache.tomcat.util.buf.CharChunk)","0.36847734","0.031 ms","0.053 ms","1"
"org.apache.catalina.core.ApplicationFilterChain.doFilter(javax.servlet.ServletRequest, javax.servlet.ServletResponse)","0.36847734","0.031 ms","0.927 ms","1"
"org.apache.tomcat.util.http.Cookies.getCookieCount()","0.36847734","0.031 ms","0.123 ms","1"
"org.apache.tomcat.util.buf.ByteChunk.isNull()","0.356591","0.03 ms","0.029 ms","4"
"org.apache.tomcat.util.buf.MessageBytes.startsWithIgnoreCase(String, int)","0.34470463","0.029 ms","0.033 ms","2"
"org.apache.tomcat.util.buf.ByteChunk.getLength()","0.34470463","0.029 ms","0.027 ms","5"
"org.apache.tomcat.util.buf.ByteChunk.makeSpace(int)","0.34470463","0.029 ms","0.029 ms","2"
"org.apache.juli.logging.DirectJDKLog.isTraceEnabled()","0.34470463","0.029 ms","0.029 ms","1"
"org.apache.tomcat.util.buf.Ascii.toLower(int)","0.33281827","0.028 ms","0.026 ms","150"
"org.apache.coyote.http11.InternalOutputBuffer.sendHeader(org.apache.tomcat.util.buf.MessageBytes, org.apache.tomcat.util.buf.MessageBytes)","0.33281827","0.028 ms","0.09 ms","2"
"org.apache.naming.resources.ResourceAttributes.<init>()","0.33281827","0.028 ms","0.028 ms","1"
"org.apache.tomcat.util.http.MimeHeaders.getValue(String)","0.33281827","0.028 ms","0.041 ms","2"
"org.apache.catalina.connector.Request.getRequestPathMB()","0.33281827","0.028 ms","0.027 ms","2"
"org.apache.tomcat.util.http.mapper.Mapper.findIgnoreCase(org.apache.tomcat.util.http.mapper.Mapper.MapElement[], org.apache.tomcat.util.buf.CharChunk, int, int)","0.32093188","0.027 ms","0.084 ms","1"
"org.apache.tomcat.util.http.Cookies.processCookies(org.apache.tomcat.util.http.MimeHeaders)","0.32093188","0.027 ms","0.092 ms","1"
"org.apache.catalina.valves.ErrorReportValve.report(org.apache.catalina.connector.Request, org.apache.catalina.connector.Response, Throwable)","0.32093188","0.027 ms","0.041 ms","1"
"org.apache.juli.logging.DirectJDKLog.isDebugEnabled()","0.30904552","0.026 ms","0.026 ms","1"
"org.apache.naming.resources.ResourceCache.find(org.apache.naming.resources.CacheEntry[], String)","0.30904552","0.026 ms","0.026 ms","2"
"org.apache.tomcat.util.buf.MessageBytes.setString(String)","0.30904552","0.026 ms","0.023 ms","8"
"org.apache.naming.resources.FileDirContext$FileResourceAttributes.getContentLength()","0.30904552","0.026 ms","0.026 ms","2"
"org.apache.naming.resources.BaseDirContext.getAttributes(String)","0.29715917","0.025 ms","0.527 ms","1"
"org.apache.tomcat.util.buf.CharChunk.indexOf(String, int, int, int)","0.29715917","0.025 ms","0.025 ms","2"
"org.apache.naming.resources.FileDirContext.normalize(String)","0.29715917","0.025 ms","0.06 ms","2"
"org.apache.tomcat.util.http.MimeHeaders.createHeader()","0.2852728","0.024 ms","0.024 ms","1"
"org.apache.tomcat.util.http.MimeHeaders.findHeader(String, int)","0.27338642","0.023 ms","0.065 ms","1"
"org.apache.tomcat.util.buf.CharChunk.toStringInternal()","0.26150006","0.022 ms","0.022 ms","1"
"org.apache.naming.resources.ProxyDirContext.lookup(String)","0.26150006","0.022 ms","0.857 ms","1"
"org.apache.tomcat.util.buf.CharChunk.setChars(char[], int, int)","0.24961369","0.021 ms","0.02 ms","3"
"org.apache.catalina.connector.Request.setAttribute(String, Object)","0.24961369","0.021 ms","0.021 ms","2"
"org.apache.catalina.core.StandardWrapper.deallocate(javax.servlet.Servlet)","0.24961369","0.021 ms","0.021 ms","1"
"org.apache.tomcat.util.buf.ByteChunk.getCharset()","0.24961369","0.021 ms","0.021 ms","1"
"org.apache.tomcat.util.buf.MessageBytes.toString()","0.22584096","0.019 ms","0.388 ms","14"
"org.apache.tomcat.util.buf.StringCache$ByteEntry.<init>()","0.2139546","0.018 ms","0.018 ms","2"
"org.apache.catalina.core.StandardWrapper.isUnavailable()","0.20206822","0.017 ms","0.017 ms","2"
"org.apache.tomcat.util.buf.ByteChunk.flushBuffer()","0.20206822","0.017 ms","0.049 ms","1"
"org.apache.tomcat.util.http.mapper.Mapper.internalMapExtensionWrapper(org.apache.tomcat.util.http.mapper.Mapper.Wrapper[], org.apache.tomcat.util.buf.CharChunk, org.apache.tomcat.util.http.mapper.MappingData)","0.20206822","0.017 ms","0.03 ms","1"
"org.apache.tomcat.util.buf.CharChunk.equalsIgnoreCase(String)","0.20206822","0.017 ms","0.018 ms","1"
"org.apache.coyote.Request.getNote(int)","0.20206822","0.017 ms","0.016 ms","2"
"org.apache.coyote.Request.action(org.apache.coyote.ActionCode, Object)","0.20206822","0.017 ms","0.029 ms","1"
"org.apache.tomcat.util.http.mapper.MappingData.recycle()","0.20206822","0.017 ms","0.031 ms","1"
"org.apache.catalina.connector.Response.setSuspended(boolean)","0.20206822","0.017 ms","0.017 ms","2"
"org.apache.tomcat.util.http.mapper.Mapper.internalMapExactWrapper(org.apache.tomcat.util.http.mapper.Mapper.Wrapper[], org.apache.tomcat.util.buf.CharChunk, org.apache.tomcat.util.http.mapper.MappingData)","0.19018187","0.016 ms","0.034 ms","1"
"org.apache.naming.resources.FileDirContext$FileResourceAttributes.getCreation()","0.1782955","0.015 ms","0.055 ms","1"
"org.apache.tomcat.util.buf.CharChunk.isNull()","0.16640913","0.014 ms","0.013 ms","5"
"org.apache.catalina.core.ApplicationFilterFactory.getInstance()","0.16640913","0.014 ms","0.014 ms","1"
"org.apache.coyote.http11.filters.IdentityOutputFilter.end()","0.16640913","0.014 ms","0.014 ms","1"
"org.apache.tomcat.util.buf.ByteChunk.indexOf(byte[], int, int, char)","0.16640913","0.014 ms","0.014 ms","2"
"org.apache.tomcat.util.buf.ByteChunk.recycle()","0.15452276","0.013 ms","0.012 ms","7"
"org.apache.coyote.Request.getAttribute(String)","0.15452276","0.013 ms","0.011 ms","5"
"org.apache.coyote.Response.sendHeaders()","0.15452276","0.013 ms","1.287 ms","1"
"org.apache.tomcat.util.buf.MessageBytes.recycle()","0.15452276","0.013 ms","0.014 ms","5"
"org.apache.coyote.Response.finish()","0.1426364","0.012 ms","0.145 ms","1"
"org.apache.catalina.connector.Connector.getContainer()","0.1426364","0.012 ms","0.012 ms","1"
"org.apache.coyote.http11.filters.IdentityOutputFilter.setResponse(org.apache.coyote.Response)","0.1426364","0.012 ms","0.012 ms","1"
